Target Mass,Impactor Mass/Target Mass,Impact Velocity,Impact Angle,Mass of Remnant
1.00E-03,2.00E-01,1.20E+00,4.50E+01,1.20E-03
1.00E-04,2.00E-01,1.20E+00,4.50E+01,1.18E-04
1.00E-01,1.00E-01,4.00E+00,4.50E+01,9.76E-02
1.00E-02,2.00E-01,1.05E+00,4.50E+01,1.19E-02
1.00E-01,7.00E-01,2.00E+00,4.50E+01,9.78E-02
1.00E-02,7.00E-01,3.00E+00,4.50E+01,9.25E-03
1.00E-01,2.00E-01,1.30E+00,4.50E+01,1.04E-01
1.00E-02,2.00E-01,1.00E+00,4.50E+01,1.19E-02
1.00E-01,7.00E-01,1.30E+00,5.25E+01,1.01E-01
1.00E+00,7.00E-01,1.00E+00,5.25E+01,1.69E+00
1.00E+00,2.00E-01,1.20E+00,5.25E+01,1.03E+00
1.00E-03,2.00E-01,1.05E+00,5.25E+01,1.19E-03
1.00E-01,7.00E-01,1.10E+00,5.25E+01,1.70E-01
1.00E-01,2.00E-01,1.05E+00,5.25E+01,1.20E-01
1.00E+00,7.00E-01,1.05E+00,5.25E+01,1.68E+00
1.00E-03,2.00E-01,1.00E+00,5.25E+01,1.19E-03
1.00E-02,2.00E-01,1.10E+00,5.25E+01,1.20E-02
1.00E-02,7.00E-01,1.05E+00,5.25E+01,1.68E-02
1.00E-01,7.00E-01,1.20E+00,5.25E+01,1.01E-01
1.00E+00,7.00E-01,1.10E+00,5.25E+01,1.70E+00
1.00E-03,2.00E-01,1.10E+00,5.25E+01,1.20E-03
1.00E+00,7.00E-01,1.20E+00,5.25E+01,1.01E+00
1.00E-01,2.00E-01,1.10E+00,5.25E+01,1.20E-01
1.00E-01,1.00E-01,1.20E+00,5.25E+01,1.03E-01
1.00E-01,1.00E-01,1.10E+00,5.25E+01,1.10E-01
1.00E-04,2.00E-01,1.30E+00,5.25E+01,1.14E-04
1.00E-04,2.00E-01,1.00E+00,5.25E+01,1.18E-04
1.00E-01,2.00E-01,1.30E+00,5.25E+01,1.02E-01
1.00E-02,7.00E-01,1.30E+00,5.25E+01,1.01E-02
1.00E-01,7.00E-01,1.05E+00,5.25E+01,1.66E-01
1.00E-04,2.00E-01,1.20E+00,5.25E+01,1.18E-04
1.00E-01,1.00E-01,1.30E+00,5.25E+01,1.02E-01
1.00E-01,1.00E-01,1.00E+00,5.25E+01,1.09E-01
1.00E-04,2.00E-01,1.05E+00,5.25E+01,1.17E-04
1.00E-04,2.00E-01,1.15E+00,5.25E+01,1.18E-04
1.00E-01,3.50E-01,1.05E+00,5.25E+01,1.35E-01
1.00E+00,2.00E-01,1.05E+00,5.25E+01,1.19E+00
1.00E-01,2.00E-01,1.20E+00,5.25E+01,1.03E-01
1.00E-03,2.00E-01,1.20E+00,5.25E+01,1.03E-03
1.00E-02,7.00E-01,1.00E+00,5.25E+01,1.67E-02
1.00E+00,2.00E-01,1.00E+00,5.25E+01,1.19E+00
1.00E-03,2.00E-01,1.30E+00,5.25E+01,1.02E-03
1.00E-02,2.00E-01,1.20E+00,5.25E+01,1.03E-02
1.00E-01,3.50E-01,1.20E+00,5.25E+01,1.02E-01
1.00E-02,2.00E-01,1.05E+00,5.25E+01,1.20E-02
1.00E-01,2.00E-01,1.00E+00,5.25E+01,1.20E-01
1.00E-03,2.00E-01,1.15E+00,5.25E+01,1.20E-03
1.00E-04,2.00E-01,1.10E+00,5.25E+01,1.18E-04
1.00E+00,2.00E-01,1.30E+00,5.25E+01,1.02E+00
1.00E-01,1.00E-01,1.05E+00,5.25E+01,1.09E-01
1.00E-02,2.00E-01,1.00E+00,5.25E+01,1.20E-02
1.00E-02,7.00E-01,1.10E+00,5.25E+01,1.69E-02
1.00E+00,2.00E-01,1.15E+00,5.25E+01,1.03E+00
1.00E-01,7.00E-01,1.15E+00,5.25E+01,1.70E-01
1.00E+00,7.00E-01,1.30E+00,5.25E+01,1.01E+00
1.00E-01,7.00E-01,1.00E+00,5.25E+01,1.69E-01
1.00E-01,3.50E-01,1.30E+00,5.25E+01,1.02E-01
1.00E-01,1.00E-01,1.15E+00,5.25E+01,1.03E-01
1.00E-01,3.50E-01,1.10E+00,5.25E+01,1.35E-01
1.00E-02,7.00E-01,1.20E+00,5.25E+01,1.01E-02
1.00E-02,2.00E-01,1.30E+00,5.25E+01,1.02E-02
1.00E-01,3.50E-01,1.15E+00,5.25E+01,1.03E-01
1.00E+00,7.00E-01,1.15E+00,5.25E+01,1.01E+00
1.00E-01,2.00E-01,1.15E+00,5.25E+01,1.03E-01
1.00E-02,2.00E-01,1.15E+00,5.25E+01,1.20E-02
1.00E-01,3.50E-01,1.00E+00,5.25E+01,1.34E-01
1.00E+00,2.00E-01,1.10E+00,5.25E+01,1.20E+00
1.00E-02,7.00E-01,1.15E+00,5.25E+01,1.70E-02
1.00E-01,1.00E-01,1.20E+00,6.00E+01,1.01E-01
1.00E-02,7.00E-01,1.20E+00,6.00E+01,1.01E-02
1.00E+00,2.00E-01,2.00E+00,6.00E+01,1.00E+00
1.00E-04,2.00E-01,1.10E+00,6.00E+01,1.20E-04
1.00E-02,2.00E-01,4.00E+00,6.00E+01,9.89E-03
1.00E-01,3.50E-01,1.10E+00,6.00E+01,1.34E-01
1.00E-01,3.50E-01,3.50E+00,6.00E+01,9.93E-02
1.00E-04,2.00E-01,1.70E+00,6.00E+01,1.01E-04
1.00E-01,2.00E-01,1.40E+00,6.00E+01,1.01E-01
1.00E-02,7.00E-01,1.15E+00,6.00E+01,1.01E-02
1.00E-04,2.00E-01,2.00E+00,6.00E+01,1.01E-04
1.00E-02,2.00E-01,1.10E+00,6.00E+01,1.20E-02
1.00E+00,2.00E-01,1.00E+00,6.00E+01,1.18E+00
1.00E-04,2.00E-01,1.00E+00,6.00E+01,1.17E-04
1.00E-02,2.00E-01,2.00E+00,6.00E+01,1.00E-02
1.00E-02,2.00E-01,1.20E+00,6.00E+01,1.02E-02
1.00E-03,2.00E-01,2.00E+00,6.00E+01,1.00E-03
1.00E-04,2.00E-01,3.50E+00,6.00E+01,9.95E-05
1.00E-01,2.00E-01,4.00E+00,6.00E+01,9.94E-02
1.00E-01,2.00E-01,1.30E+00,6.00E+01,1.01E-01
1.00E+00,7.00E-01,1.00E+00,6.00E+01,1.69E+00
1.00E+00,7.00E-01,3.50E+00,6.00E+01,9.89E-01
1.00E+00,2.00E-01,1.10E+00,6.00E+01,1.02E+00
1.00E-01,1.00E-01,4.00E+00,6.00E+01,9.97E-02
1.00E+00,7.00E-01,1.15E+00,6.00E+01,1.01E+00
1.00E+00,7.00E-01,1.05E+00,6.00E+01,1.67E+00
1.00E-01,7.00E-01,3.00E+00,6.00E+01,9.90E-02
1.00E-02,7.00E-01,1.30E+00,6.00E+01,1.01E-02
1.00E+00,7.00E-01,2.50E+00,6.00E+01,9.93E-01
1.00E-03,2.00E-01,1.30E+00,6.00E+01,1.01E-03
1.00E-01,7.00E-01,1.10E+00,6.00E+01,1.70E-01
1.00E-02,7.00E-01,1.70E+00,6.00E+01,9.98E-03
1.00E-01,1.00E-01,1.30E+00,6.00E+01,1.01E-01
1.00E-01,2.00E-01,2.50E+00,6.00E+01,1.00E-01
1.00E-01,7.00E-01,1.20E+00,6.00E+01,1.01E-01
1.00E-01,7.00E-01,1.05E+00,6.00E+01,1.67E-01
1.00E-02,2.00E-01,3.00E+00,6.00E+01,9.92E-03
1.00E+00,7.00E-01,1.70E+00,6.00E+01,9.99E-01
1.00E-01,7.00E-01,3.50E+00,6.00E+01,9.86E-02
1.00E-02,7.00E-01,4.00E+00,6.00E+01,9.75E-03
1.00E-02,7.00E-01,1.05E+00,6.00E+01,1.67E-02
1.00E-01,3.50E-01,1.15E+00,6.00E+01,1.02E-01
1.00E-02,7.00E-01,2.00E+00,6.00E+01,9.92E-03
1.00E-01,2.00E-01,3.50E+00,6.00E+01,9.96E-02
1.00E-02,7.00E-01,3.50E+00,6.00E+01,9.76E-03
1.00E-01,2.00E-01,1.15E+00,6.00E+01,1.02E-01
1.00E-01,7.00E-01,1.15E+00,6.00E+01,1.01E-01
1.00E-03,2.00E-01,2.50E+00,6.00E+01,9.98E-04
1.00E-04,2.00E-01,4.00E+00,6.00E+01,9.91E-05
1.00E-04,2.00E-01,1.05E+00,6.00E+01,1.19E-04
1.00E-01,3.50E-01,2.00E+00,6.00E+01,1.00E-01
1.00E-01,7.00E-01,4.00E+00,6.00E+01,9.83E-02
1.00E-01,1.00E-01,1.10E+00,6.00E+01,1.02E-01
1.00E-02,2.00E-01,1.05E+00,6.00E+01,1.18E-02
1.00E-03,2.00E-01,4.00E+00,6.00E+01,9.88E-04
1.00E+00,2.00E-01,4.00E+00,6.00E+01,9.95E-01
1.00E-01,3.50E-01,1.00E+00,6.00E+01,1.34E-01
1.00E+00,7.00E-01,1.40E+00,6.00E+01,1.00E+00
1.00E-01,1.00E-01,1.70E+00,6.00E+01,1.01E-01
1.00E-01,7.00E-01,1.40E+00,6.00E+01,1.00E-01
1.00E-01,7.00E-01,1.70E+00,6.00E+01,1.00E-01
1.00E-04,2.00E-01,1.15E+00,6.00E+01,1.18E-04
1.00E-02,7.00E-01,1.00E+00,6.00E+01,1.67E-02
1.00E+00,2.00E-01,1.40E+00,6.00E+01,1.01E+00
1.00E-04,2.00E-01,1.40E+00,6.00E+01,1.02E-04
1.00E-01,7.00E-01,1.30E+00,6.00E+01,1.01E-01
1.00E-01,2.00E-01,1.20E+00,6.00E+01,1.02E-01
1.00E-01,1.00E-01,3.50E+00,6.00E+01,9.98E-02
1.00E-01,2.00E-01,1.00E+00,6.00E+01,1.19E-01
1.00E-01,1.00E-01,1.15E+00,6.00E+01,1.02E-01
1.00E+00,2.00E-01,1.15E+00,6.00E+01,1.02E+00
1.00E+00,2.00E-01,1.20E+00,6.00E+01,1.02E+00
1.00E-02,2.00E-01,1.40E+00,6.00E+01,1.01E-02
1.00E-02,2.00E-01,2.50E+00,6.00E+01,9.96E-03
1.00E-01,1.00E-01,1.00E+00,6.00E+01,1.09E-01
1.00E-01,3.50E-01,1.05E+00,6.00E+01,1.34E-01
1.00E-01,2.00E-01,1.05E+00,6.00E+01,1.20E-01
1.00E-03,2.00E-01,3.50E+00,6.00E+01,9.91E-04
1.00E-01,1.00E-01,3.00E+00,6.00E+01,1.00E-01
1.00E-01,3.50E-01,2.50E+00,6.00E+01,9.99E-02
1.00E+00,7.00E-01,1.10E+00,6.00E+01,1.70E+00
1.00E-03,2.00E-01,1.20E+00,6.00E+01,1.02E-03
1.00E-01,1.00E-01,2.00E+00,6.00E+01,1.00E-01
1.00E-01,1.00E-01,1.05E+00,6.00E+01,1.10E-01
1.00E-02,2.00E-01,1.30E+00,6.00E+01,1.01E-02
1.00E-01,3.50E-01,1.70E+00,6.00E+01,1.00E-01
1.00E-03,2.00E-01,3.00E+00,6.00E+01,9.94E-04
1.00E+00,2.00E-01,1.05E+00,6.00E+01,1.20E+00
1.00E+00,2.00E-01,1.30E+00,6.00E+01,1.01E+00
1.00E-02,7.00E-01,1.10E+00,6.00E+01,1.70E-02
1.00E-01,3.50E-01,1.40E+00,6.00E+01,1.01E-01
1.00E+00,2.00E-01,2.50E+00,6.00E+01,9.99E-01
1.00E+00,2.00E-01,3.00E+00,6.00E+01,9.97E-01
1.00E-02,7.00E-01,1.40E+00,6.00E+01,1.00E-02
1.00E-01,2.00E-01,1.70E+00,6.00E+01,1.00E-01
1.00E-01,2.00E-01,3.00E+00,6.00E+01,9.98E-02
1.00E+00,2.00E-01,3.50E+00,6.00E+01,9.96E-01
1.00E-01,7.00E-01,1.00E+00,6.00E+01,1.68E-01
1.00E+00,7.00E-01,2.00E+00,6.00E+01,9.95E-01
1.00E-04,2.00E-01,3.00E+00,6.00E+01,9.98E-05
1.00E-01,7.00E-01,2.50E+00,6.00E+01,9.93E-02
1.00E-01,2.00E-01,2.00E+00,6.00E+01,1.00E-01
1.00E-01,3.50E-01,4.00E+00,6.00E+01,9.91E-02
1.00E-03,2.00E-01,1.70E+00,6.00E+01,1.01E-03
1.00E-02,2.00E-01,3.50E+00,6.00E+01,9.91E-03
1.00E-01,7.00E-01,2.00E+00,6.00E+01,9.97E-02
1.00E-01,3.50E-01,1.20E+00,6.00E+01,1.02E-01
1.00E+00,7.00E-01,3.00E+00,6.00E+01,9.91E-01
1.00E-02,7.00E-01,2.50E+00,6.00E+01,9.86E-03
1.00E-03,2.00E-01,1.15E+00,6.00E+01,1.02E-03
1.00E+00,7.00E-01,1.20E+00,6.00E+01,1.01E+00
1.00E-02,7.00E-01,3.00E+00,6.00E+01,9.81E-03
1.00E+00,2.00E-01,1.70E+00,6.00E+01,1.00E+00
1.00E-03,2.00E-01,1.00E+00,6.00E+01,1.18E-03
1.00E-04,2.00E-01,2.50E+00,6.00E+01,1.00E-04
1.00E-02,2.00E-01,1.70E+00,6.00E+01,1.01E-02
1.00E-03,2.00E-01,1.10E+00,6.00E+01,1.20E-03
1.00E-01,1.00E-01,2.50E+00,6.00E+01,1.00E-01
1.00E-01,3.50E-01,1.30E+00,6.00E+01,1.01E-01
1.00E-02,2.00E-01,1.00E+00,6.00E+01,1.10E-02
1.00E-03,2.00E-01,1.40E+00,6.00E+01,1.01E-03
1.00E-01,1.00E-01,1.40E+00,6.00E+01,1.01E-01
1.00E-04,2.00E-01,1.20E+00,6.00E+01,1.19E-04
1.00E-01,2.00E-01,1.10E+00,6.00E+01,1.04E-01
1.00E-03,2.00E-01,1.05E+00,6.00E+01,1.18E-03
1.00E-02,2.00E-01,1.15E+00,6.00E+01,1.02E-02
1.00E+00,7.00E-01,4.00E+00,6.00E+01,9.87E-01
1.00E+00,7.00E-01,1.30E+00,6.00E+01,1.01E+00
1.00E-04,2.00E-01,1.30E+00,6.00E+01,1.03E-04
1.00E-01,3.50E-01,3.00E+00,6.00E+01,9.96E-02
1.00E-01,7.00E-01,1.05E+00,7.50E+01,1.70E-01
1.00E-01,2.00E-01,1.15E+00,7.50E+01,1.01E-01
1.00E+00,2.00E-01,1.15E+00,7.50E+01,1.01E+00
1.00E-03,2.00E-01,1.40E+00,7.50E+01,1.00E-03
1.00E-04,2.00E-01,1.00E+00,7.50E+01,1.20E-04
1.00E-03,2.00E-01,2.00E+00,7.50E+01,1.00E-03
1.00E-01,1.00E-01,2.00E+00,7.50E+01,1.00E-01
1.00E-01,1.00E-01,3.00E+00,7.50E+01,1.00E-01
1.00E-03,2.00E-01,4.00E+00,7.50E+01,9.99E-04
1.00E-01,1.00E-01,1.15E+00,7.50E+01,1.01E-01
1.00E-01,7.00E-01,1.15E+00,7.50E+01,1.01E-01
1.00E-01,3.50E-01,4.00E+00,7.50E+01,1.00E-01
1.00E-04,2.00E-01,1.05E+00,7.50E+01,1.20E-04
1.00E-01,2.00E-01,3.50E+00,7.50E+01,1.00E-01
1.00E-02,7.00E-01,2.50E+00,7.50E+01,9.97E-03
1.00E-02,7.00E-01,2.00E+00,7.50E+01,9.98E-03
1.00E-04,2.00E-01,1.70E+00,7.50E+01,1.00E-04
1.00E-02,2.00E-01,1.15E+00,7.50E+01,1.01E-02
1.00E-01,1.00E-01,1.10E+00,7.50E+01,1.01E-01
1.00E-01,1.00E-01,1.00E+00,7.50E+01,1.08E-01
1.00E-01,3.50E-01,3.50E+00,7.50E+01,1.00E-01
1.00E-02,7.00E-01,3.50E+00,7.50E+01,9.96E-03
1.00E-03,2.00E-01,1.20E+00,7.50E+01,1.01E-03
1.00E+00,2.00E-01,1.10E+00,7.50E+01,1.01E+00
1.00E-01,2.00E-01,1.30E+00,7.50E+01,1.00E-01
1.00E-03,2.00E-01,1.05E+00,7.50E+01,1.20E-03
1.00E-02,2.00E-01,2.50E+00,7.50E+01,9.99E-03
1.00E-02,2.00E-01,3.00E+00,7.50E+01,9.98E-03
1.00E+00,7.00E-01,1.00E+00,7.50E+01,1.69E+00
1.00E+00,7.00E-01,1.40E+00,7.50E+01,1.00E+00
1.00E+00,7.00E-01,1.70E+00,7.50E+01,1.00E+00
1.00E-01,3.50E-01,1.15E+00,7.50E+01,1.01E-01
1.00E-01,3.50E-01,2.50E+00,7.50E+01,1.00E-01
1.00E-02,2.00E-01,1.70E+00,7.50E+01,1.00E-02
1.00E+00,2.00E-01,1.70E+00,7.50E+01,1.00E+00
1.00E+00,7.00E-01,2.00E+00,7.50E+01,1.00E+00
1.00E+00,2.00E-01,2.50E+00,7.50E+01,1.00E+00
1.00E-01,1.00E-01,3.50E+00,7.50E+01,1.00E-01
1.00E+00,2.00E-01,3.00E+00,7.50E+01,1.00E+00
1.00E-04,2.00E-01,1.40E+00,7.50E+01,1.01E-04
1.00E-01,2.00E-01,3.00E+00,7.50E+01,1.00E-01
1.00E-02,7.00E-01,1.40E+00,7.50E+01,1.00E-02
1.00E-01,3.50E-01,1.10E+00,7.50E+01,1.02E-01
1.00E-02,7.00E-01,1.70E+00,7.50E+01,9.99E-03
1.00E-04,2.00E-01,1.10E+00,7.50E+01,1.20E-04
1.00E+00,2.00E-01,1.05E+00,7.50E+01,1.13E+00
1.00E+00,2.00E-01,1.00E+00,7.50E+01,1.17E+00
1.00E-01,2.00E-01,2.00E+00,7.50E+01,1.00E-01
1.00E-02,7.00E-01,1.20E+00,7.50E+01,1.00E-02
1.00E-03,2.00E-01,1.30E+00,7.50E+01,1.00E-03
1.00E-02,2.00E-01,1.40E+00,7.50E+01,1.00E-02
1.00E-04,2.00E-01,1.20E+00,7.50E+01,1.01E-04
1.00E-02,7.00E-01,1.30E+00,7.50E+01,1.00E-02
1.00E-01,3.50E-01,1.70E+00,7.50E+01,1.00E-01
1.00E-04,2.00E-01,3.50E+00,7.50E+01,1.00E-04
1.00E-01,2.00E-01,4.00E+00,7.50E+01,1.00E-01
1.00E-01,1.00E-01,2.50E+00,7.50E+01,1.00E-01
1.00E-04,2.00E-01,4.00E+00,7.50E+01,9.97E-05
1.00E-04,2.00E-01,3.00E+00,7.50E+01,1.00E-04
1.00E-01,7.00E-01,2.50E+00,7.50E+01,1.00E-01
1.00E-02,7.00E-01,1.00E+00,7.50E+01,1.68E-02
1.00E-02,2.00E-01,1.30E+00,7.50E+01,1.00E-02
1.00E-01,2.00E-01,1.10E+00,7.50E+01,0.00E+00
1.00E+00,7.00E-01,4.00E+00,7.50E+01,1.00E+00
1.00E+00,2.00E-01,1.40E+00,7.50E+01,1.00E+00
1.00E-01,1.00E-01,1.70E+00,7.50E+01,1.00E-01
1.00E-02,2.00E-01,2.00E+00,7.50E+01,1.00E-02
1.00E-01,1.00E-01,1.20E+00,7.50E+01,1.00E-01
1.00E-01,7.00E-01,3.00E+00,7.50E+01,9.99E-02
1.00E-01,2.00E-01,2.50E+00,7.50E+01,1.00E-01
1.00E-02,7.00E-01,1.05E+00,7.50E+01,1.67E-02
1.00E-03,2.00E-01,3.00E+00,7.50E+01,1.00E-03
1.00E+00,2.00E-01,1.30E+00,7.50E+01,1.00E+00
1.00E-04,2.00E-01,1.30E+00,7.50E+01,1.01E-04
1.00E-01,2.00E-01,1.05E+00,7.50E+01,1.17E-01
1.00E-02,7.00E-01,1.15E+00,7.50E+01,1.00E-02
1.00E-02,2.00E-01,3.50E+00,7.50E+01,9.98E-03
1.00E-01,3.50E-01,1.00E+00,7.50E+01,1.31E-01
1.00E-03,2.00E-01,1.15E+00,7.50E+01,1.01E-03
1.00E-02,2.00E-01,1.10E+00,7.50E+01,1.01E-02
1.00E+00,7.00E-01,1.20E+00,7.50E+01,1.00E+00
1.00E-01,7.00E-01,1.70E+00,7.50E+01,1.00E-01
1.00E-01,7.00E-01,3.50E+00,7.50E+01,9.99E-02
1.00E-01,7.00E-01,1.40E+00,7.50E+01,1.00E-01
1.00E-04,2.00E-01,2.00E+00,7.50E+01,1.00E-04
1.00E-01,3.50E-01,1.05E+00,7.50E+01,1.35E-01
1.00E-01,3.50E-01,3.00E+00,7.50E+01,1.00E-01
1.00E-01,1.00E-01,1.40E+00,7.50E+01,1.00E-01
1.00E-04,2.00E-01,2.50E+00,7.50E+01,1.00E-04
1.00E-01,7.00E-01,1.00E+00,7.50E+01,1.68E-01
1.00E-01,2.00E-01,1.20E+00,7.50E+01,1.01E-01
1.00E-02,7.00E-01,1.10E+00,7.50E+01,1.60E-02
1.00E+00,7.00E-01,1.30E+00,7.50E+01,1.00E+00
1.00E+00,7.00E-01,3.50E+00,7.50E+01,1.00E+00
1.00E-01,1.00E-01,1.05E+00,7.50E+01,1.04E-01
1.00E-02,7.00E-01,3.00E+00,7.50E+01,9.97E-03
1.00E-02,7.00E-01,4.00E+00,7.50E+01,9.96E-03
1.00E+00,2.00E-01,4.00E+00,7.50E+01,1.00E+00
1.00E-03,2.00E-01,3.50E+00,7.50E+01,9.99E-04
1.00E-01,7.00E-01,4.00E+00,7.50E+01,9.99E-02
1.00E-03,2.00E-01,1.10E+00,7.50E+01,1.03E-03
1.00E-02,2.00E-01,1.20E+00,7.50E+01,1.01E-02
1.00E+00,7.00E-01,2.50E+00,7.50E+01,1.00E+00
1.00E-01,2.00E-01,1.70E+00,7.50E+01,1.00E-01
1.00E-02,2.00E-01,1.00E+00,7.50E+01,1.17E-02
1.00E-04,2.00E-01,1.15E+00,7.50E+01,1.02E-04
1.00E-01,3.50E-01,1.30E+00,7.50E+01,1.00E-01
1.00E-03,2.00E-01,1.70E+00,7.50E+01,1.00E-03
1.00E-01,7.00E-01,1.30E+00,7.50E+01,1.00E-01
1.00E-01,3.50E-01,1.20E+00,7.50E+01,1.01E-01
1.00E-01,1.00E-01,1.30E+00,7.50E+01,1.00E-01
1.00E+00,2.00E-01,3.50E+00,7.50E+01,1.00E+00
1.00E-03,2.00E-01,1.00E+00,7.50E+01,1.18E-03
1.00E+00,7.00E-01,1.15E+00,7.50E+01,1.00E+00
1.00E-01,7.00E-01,2.00E+00,7.50E+01,1.00E-01
1.00E+00,7.00E-01,1.05E+00,7.50E+01,1.70E+00
1.00E-03,2.00E-01,2.50E+00,7.50E+01,1.00E-03
1.00E-02,2.00E-01,4.00E+00,7.50E+01,9.98E-03
1.00E+00,7.00E-01,3.00E+00,7.50E+01,1.00E+00
1.00E+00,7.00E-01,1.10E+00,7.50E+01,1.01E+00
1.00E-01,1.00E-01,4.00E+00,7.50E+01,1.00E-01
1.00E+00,2.00E-01,1.20E+00,7.50E+01,1.01E+00
1.00E-01,7.00E-01,1.10E+00,7.50E+01,1.01E-01
1.00E-01,2.00E-01,1.40E+00,7.50E+01,1.00E-01
1.00E-02,2.00E-01,1.05E+00,7.50E+01,1.20E-02
1.00E-01,7.00E-01,1.20E+00,7.50E+01,1.00E-01
1.00E+00,2.00E-01,2.00E+00,7.50E+01,1.00E+00
1.00E-01,2.00E-01,1.00E+00,7.50E+01,1.16E-01
1.00E-01,3.50E-01,1.40E+00,7.50E+01,1.00E-01
1.00E-01,2.00E-01,1.10E+00,8.25E+01,1.01E-01
1.00E-02,7.00E-01,1.15E+00,8.25E+01,1.00E-02
1.00E-03,2.00E-01,1.30E+00,8.25E+01,1.00E-03
1.00E-01,1.00E-01,1.20E+00,8.25E+01,1.00E-01
1.00E-01,1.00E-01,1.30E+00,8.25E+01,1.00E-01
1.00E+00,2.00E-01,1.30E+00,8.25E+01,1.00E+00
1.00E-01,3.50E-01,1.20E+00,8.25E+01,1.00E-01
1.00E-01,7.00E-01,1.20E+00,8.25E+01,1.00E-01
1.00E-01,7.00E-01,1.30E+00,8.25E+01,1.00E-01
1.00E-01,7.00E-01,1.15E+00,8.25E+01,1.00E-01
1.00E-01,1.00E-01,1.05E+00,8.25E+01,1.03E-01
1.00E-01,1.00E-01,1.00E+00,8.25E+01,1.10E-01
1.00E+00,7.00E-01,1.00E+00,8.25E+01,1.68E+00
1.00E-02,2.00E-01,1.20E+00,8.25E+01,1.00E-02
1.00E+00,7.00E-01,1.30E+00,8.25E+01,1.00E+00
1.00E-03,2.00E-01,1.00E+00,8.25E+01,1.18E-03
1.00E+00,7.00E-01,1.10E+00,8.25E+01,1.01E+00
1.00E-02,2.00E-01,1.05E+00,8.25E+01,1.17E-02
1.00E-04,2.00E-01,1.10E+00,8.25E+01,1.16E-04
1.00E-02,7.00E-01,1.05E+00,8.25E+01,1.70E-02
1.00E-01,7.00E-01,1.05E+00,8.25E+01,1.70E-01
1.00E-01,2.00E-01,1.00E+00,8.25E+01,1.18E-01
1.00E-04,2.00E-01,1.15E+00,8.25E+01,1.01E-04
1.00E-03,2.00E-01,1.20E+00,8.25E+01,1.00E-03
1.00E-01,3.50E-01,1.00E+00,8.25E+01,1.31E-01
1.00E-01,7.00E-01,1.00E+00,8.25E+01,1.64E-01
1.00E-03,2.00E-01,1.10E+00,8.25E+01,1.02E-03
1.00E-01,2.00E-01,1.30E+00,8.25E+01,1.00E-01
1.00E-04,2.00E-01,1.30E+00,8.25E+01,1.01E-04
1.00E+00,2.00E-01,1.10E+00,8.25E+01,1.01E+00
1.00E+00,7.00E-01,1.05E+00,8.25E+01,1.70E+00
1.00E-02,2.00E-01,1.10E+00,8.25E+01,1.01E-02
1.00E+00,7.00E-01,1.15E+00,8.25E+01,1.00E+00
1.00E-02,7.00E-01,1.30E+00,8.25E+01,1.00E-02
1.00E-03,2.00E-01,1.15E+00,8.25E+01,1.00E-03
1.00E-03,2.00E-01,1.05E+00,8.25E+01,1.18E-03
1.00E-02,2.00E-01,1.30E+00,8.25E+01,1.00E-02
1.00E+00,2.00E-01,1.15E+00,8.25E+01,1.01E+00
1.00E-01,1.00E-01,1.15E+00,8.25E+01,1.00E-01
1.00E-01,2.00E-01,1.15E+00,8.25E+01,1.00E-01
1.00E+00,7.00E-01,1.20E+00,8.25E+01,1.00E+00
1.00E-04,2.00E-01,1.05E+00,8.25E+01,1.18E-04
1.00E+00,2.00E-01,1.00E+00,8.25E+01,1.18E+00
1.00E-01,2.00E-01,1.20E+00,8.25E+01,1.00E-01
1.00E-02,7.00E-01,1.20E+00,8.25E+01,1.00E-02
1.00E-04,2.00E-01,1.00E+00,8.25E+01,1.20E-04
1.00E-02,7.00E-01,1.00E+00,8.25E+01,1.64E-02
1.00E-01,3.50E-01,1.10E+00,8.25E+01,1.01E-01
1.00E-01,1.00E-01,1.10E+00,8.25E+01,1.00E-01
1.00E-01,2.00E-01,1.05E+00,8.25E+01,1.14E-01
1.00E-01,7.00E-01,1.10E+00,8.25E+01,1.01E-01
1.00E-01,3.50E-01,1.15E+00,8.25E+01,1.01E-01
1.00E+00,2.00E-01,1.20E+00,8.25E+01,1.00E+00
1.00E-02,2.00E-01,1.00E+00,8.25E+01,1.18E-02
1.00E+00,2.00E-01,1.05E+00,8.25E+01,1.12E+00
1.00E-02,7.00E-01,1.10E+00,8.25E+01,1.05E-02
1.00E-02,2.00E-01,1.15E+00,8.25E+01,1.00E-02
1.00E-01,3.50E-01,1.05E+00,8.25E+01,1.35E-01
1.00E-01,3.50E-01,1.30E+00,8.25E+01,1.00E-01
1.00E-04,2.00E-01,1.20E+00,8.25E+01,1.01E-04
1.00E-04,2.00E-01,1.20E+00,8.95E+01,1.01E-04
1.00E-01,3.50E-01,1.10E+00,8.95E+01,1.01E-01
1.00E-03,2.00E-01,1.30E+00,8.95E+01,1.00E-03
1.00E-02,2.00E-01,1.10E+00,8.95E+01,1.01E-02
1.00E-04,2.00E-01,1.05E+00,8.95E+01,1.19E-04
1.00E+00,7.00E-01,1.20E+00,8.95E+01,1.00E+00
1.00E-01,1.00E-01,1.20E+00,8.95E+01,1.00E-01
1.00E-01,2.00E-01,1.30E+00,8.95E+01,1.00E-01
1.00E-01,3.50E-01,1.30E+00,8.95E+01,1.00E-01
1.00E-03,2.00E-01,1.15E+00,8.95E+01,1.00E-03
1.00E-01,1.00E-01,1.15E+00,8.95E+01,1.00E-01
